 ,Label,Area,Mean,Min,Max,Length
1,33_C09_br223_trka-3.nd2:0702-1460,221.314,1975.032,466.000,13012.000,300.959
52	32_C08_br223_igf1r-2.nd2:1312-3220	128.151	2120.048	621.930	28035.500	184.430
53	32_C08_br223_igf1r-2.nd2:2528-1943	68.291	3581.399	516.000	23255.779	95.761
54	32_C08_br223_igf1r-2.nd2:2356-1866	44.684	2332.063	584.720	4472.816	61.768
55	32_C08_br223_igf1r-2.nd2:2222-2342	113.819	2900.790	555.860	11343.300	170.991
56	32_C08_br223_igf1r-2.nd2:2805-0941	216.677	1309.570	512.000	4656.900	308.935
57	32_C08_br223_igf1r-2.nd2:3491-3496	166.512	2631.027	475.000	16620.480	214.422
58	32_C08_br223_igf1r-2.nd2:0341-0194	316.584	920.057	450.900	3365.119	469.522
59	32_C08_br223_igf1r-2.nd2:1267-1954	225.529	1416.827	499.270	6817.260	322.235
60	32_C08_br223_igf1r-2.nd2:1983-2740	278.223	2412.855	463.260	16234.533	397.667
61	32_C08_br223_igf1r-2.nd2:2955-2076	334.711	898.126	494.000	3092.131	497.055
62	32_C08_br223_igf1r-2.nd2:0226-2555	102.015	2951.681	512.370	12671.920	145.251
63	32_C08_br223_igf1r-2.nd2	134.053	2357.886	488.240	13357.341	194.290
64	32_C08_br223_igf1r-2.nd2:2126-0148	134.053	2357.886	488.240	13357.341	194.290
65	32_C08_br223_igf1r-2.nd2:2086-3189	278.645	2298.789	556.000	31041.281	390.874
66	32_C08_br223_igf1r-2.nd2:2168-0333	204.873	1021.658	470.000	3080.457	305.341
67	32_C08_br223_igf1r-2.nd2:1270-1510	293.399	1851.189	511.000	9863.369	430.421
68	32_C08_br223_igf1r-2.nd2:1236-3000	287.919	1406.557	589.872	20322.977	424.947
69	32_C08_br223_igf1r-2.nd2:0835-0268	205.295	1041.270	469.520	6709.242	299.433
70	32_C08_br223_igf1r-2.nd2:2850-1673	159.767	2303.838	575.160	10094.409	242.949
71	32_C08_br223_igf1r-2.nd2:2690-0399	252.508	853.477	483.050	3325.668	376.846
72	32_C08_br223_igf1r-2.nd2:0487-1207	184.217	999.702	517.000	6749.160	255.852
73	32_C08_br223_igf1r-2.nd2:1208-1090	242.813	886.084	584.720	4177.583	365.284
74	32_C08_br223_igf1r-2.nd2:3326-2295	251.244	1414.499	525.000	15655.727	365.050
75	32_C08_br223_igf1r-2.nd2:0814-2432	84.732	1651.669	476.000	4572.294	126.931
76	32_C08_br223_igf1r-2.nd2:0626-2364	45.949	2046.233	548.000	4432.000	69.961
77	32_C08_br223_igf1r-2.nd2:0812-0386	98.221	724.656	527.530	1358.441	148.186
78	32_C08_br223_igf1r-2.nd2:2177-3439	106.652	1050.163	508.007	3041.000	160.688
79	32_C08_br223_igf1r-2.nd2:0161-2682	131.945	1979.840	564.685	8329.190	196.887
80	32_C08_br223_igf1r-2.nd2:0376-0894	48.478	2143.066	542.000	6260.400	62.005
81	32_C08_br223_igf1r-2.nd2:0279-0551	96.113	1547.085	499.000	5292.306	142.389
82	32_C08_br223_igf1r-2.nd2:1183-0746	179.580	1249.364	502.000	4276.100	259.127
83	32_C08_br223_igf1r-2.nd2:1456-0900	68.713	1403.720	578.000	7328.010	102.595
84	32_C08_br223_igf1r-2.nd2:0111-2434	97.800	3082.822	739.520	6934.336	143.571
85	32_C08_br223_igf1r-2.nd2:3489-2723	151.336	1138.367	0.000	4970.037	222.409
86	32_C08_br223_igf1r-2.nd2:0368-0244	193.491	749.042	496.230	3183.330	288.886
87	32_C08_br223_igf1r-2.nd2:1696-0118	127.730	843.623	485.000	1773.394	178.486
88	32_C08_br223_igf1r-2.nd2:1776-0088	96.113	1364.340	550.557	2247.617	142.887
89	32_C08_br223_igf1r-2.nd2:1899-0361	51.429	2694.246	1221.000	4817.404	76.257
90	32_C08_br223_igf1r-2.nd2:1427-2724	74.193	3841.845	651.258	16114.000	108.833
91	32_C08_br223_igf1r-2.nd2:2774-1113	84.310	1033.913	553.000	1890.532	124.881
92	32_C08_br223_igf1r-2.nd2:2848-1230	133.631	1542.408	502.000	3690.000	201.726
93	32_C08_br223_igf1r-2.nd2:2888-1401	115.083	742.129	481.000	1550.392	166.943
94	32_C08_br223_igf1r-2.nd2:2885-2232	48.478	1710.726	990.090	2477.363	72.494
95	32_C08_br223_igf1r-2.nd2:1461-1993	45.949	2984.509	1143.610	4978.342	67.432
96	32_C08_br223_igf1r-2.nd2:1442-2282	80.095	5970.323	644.530	19326.857	115.991
97	32_C08_br223_igf1r-2.nd2:1137-2139	133.631	1370.503	495.600	4611.137	200.057
98	32_C08_br223_igf1r-2.nd2:3206-0378	98.643	1739.982	541.000	5395.000	148.646
99	32_C08_br223_igf1r-2.nd2:1924-3534	104.123	1811.331	16.209	7161.167	153.930
100	32_C08_br223_igf1r-2.nd2:0088-2374	54.380	6721.811	597.300	24740.000	79.585
101	32_C08_br223_igf1r-2.nd2:3463-1115	138.690	1437.494	484.180	4045.266	199.751
102	32_C08_br223_igf1r-2.nd2:1613-2619	109.181	6384.089	546.000	33453.816	144.953
103	32_C08_br223_igf1r-2.nd2:0831-3143	51.008	7192.427	566.000	33736.355	72.527
104	32_C08_br223_igf1r-2.nd2:0131-1758	110.868	4134.832	719.665	9502.000	158.587
105	32_C08_br223_igf1r-2.nd2:0069-1543	63.233	6214.700	982.324	16344.000	89.067
106	32_C08_br223_igf1r-2.nd2:2669-2704	459.490	1371.754	496.500	7361.234	673.609
107	32_C08_br223_igf1r-2.nd2:2424-2349	40.469	3607.936	1017.454	7872.000	60.159
108	32_C08_br223_igf1r-2.nd2:2589-2786	342.720	1214.078	480.470	8136.000	495.692
109	32_C08_br223_igf1r-2.nd2:2835-3450	195.178	2471.471	0.000	8068.057	273.005
110	32_C08_br223_igf1r-2.nd2:2715-3528	92.319	2294.642	578.000	6313.200	136.116
111	32_C08_br223_igf1r-2.nd2:3354-1661	98.221	2681.089	537.000	7649.241	136.959
112	32_C08_br223_igf1r-2.nd2:3354-1665	99.486	1640.469	615.122	5347.960	140.494
113	32_C08_br223_igf1r-2.nd2:3539-1789	82.202	1305.737	563.318	6820.000	122.228
114	32_C08_br223_igf1r-2.nd2:2177-1209	50.586	5839.612	583.460	16092.420	74.668
115	32_C08_br223_igf1r-2.nd2:0046-0960	42.155	1504.519	548.604	4604.566	63.825
116	32_C08_br223_igf1r-2.nd2:1756-0226	108.338	1024.562	459.000	2408.036	165.112

