stem,plate,label,length_px,signal_mean,signal_frac,straightness,signal_p25
P23_B03_ACT104_EGFR,PLATE_23,1,245.5812351511136,146.5205047318612,1.0,0.918691319216721,150.0
P23_B03_ACT104_EGFR,PLATE_23,1,439.93244290447126,149.44292237442923,1.0,0.0,150.0
P23_B03_ACT104_EGFR,PLATE_23,0,169.08131346441337,149.68695652173912,1.0,0.0,150.0
P23_B03_ACT104_EGFR,PLATE_23,1,776.6152849628234,147.0628115653041,1.0,0.18944292556385825,150.0
P23_B03_ACT104_EGFR,PLATE_23,1,922.0528497453273,106.37363726461844,1.0,0.12761628558573532,79.0
P23_B03_ACT104_EGFR,PLATE_23,0,33.37686370712246,142.72222222222223,1.0,0.9061969760188802,150.0
P23_B03_ACT104_EGFR,PLATE_23,1,29.069107103806516,148.94594594594594,1.0,0.9054550341592154,150.0
P23_B03_ACT104_EGFR,PLATE_23,1,258.7529372060019,95.4931506849315,1.0,0.0,77.0
P23_B03_ACT104_EGFR,PLATE_23,1,365.7728988366696,104.71153846153847,1.0,0.0,81.75
P23_B03_ACT104_EGFR,PLATE_23,1,419.8359696871691,149.08231173380034,1.0,0.008407235909103205,150.0
P23_B03_ACT104_EGFR,PLATE_23,1,800.7171743499518,123.97803347280335,0.9989539748953975,0.7799363994228541,103.75
P23_B03_ACT104_EGFR,PLATE_23,1,365.3564767514905,130.45054945054946,1.0,0.0,116.0
P23_B03_ACT104_EGFR,PLATE_23,1,1332.0673173235086,122.61702127659575,1.0,0.08117899201117372,93.0
P23_B03_ACT104_EGFR,PLATE_23,1,373.91579653574456,112.26229508196721,1.0,0.0,89.0
P23_B03_ACT104_EGFR,PLATE_23,1,1645.966994117497,128.15601882985877,0.9502353732347008,0.033442277159478964,127.0
P23_B03_ACT104_EGFR,PLATE_23,1,514.5637799480816,111.49760765550239,0.9808612440191388,0.0,25.0
P23_B03_ACT104_EGFR,PLATE_23,0,83.85559931891922,144.67741935483872,1.0,0.09984015738496535,150.0
P23_B03_ACT104_EGFR,PLATE_23,0,2174.2737057404565,143.35178408051235,1.0,0.11660284314004722,150.0
P23_B03_ACT104_EGFR,PLATE_23,0,55.48828732628396,136.52,1.0,0.7431720368373195,140.0
P23_B03_ACT104_EGFR,PLATE_23,1,902.3304662503076,137.6601195559351,1.0,0.07733810344260843,135.5
P23_B03_ACT104_EGFR,PLATE_23,0,1279.8658917099856,124.48115477145149,0.991980753809142,0.09408331817686028,100.0
P23_B03_ACT104_EGFR,PLATE_23,1,32.816220990389475,148.73809523809524,1.0,0.926695105253328,150.0
P23_B03_ACT104_EGFR,PLATE_23,1,50.68021816569535,138.3230769230769,1.0,0.9326264027365424,131.0
P23_B03_ACT104_EGFR,PLATE_23,0,32.77538312897962,134.63888888888889,1.0,0.9278778515487518,120.0
P23_B03_ACT104_EGFR,PLATE_23,1,1074.7427496192518,141.6802030456853,0.9992748368382887,0.022955242952565954,150.0
